ProjectName,Is ML producer,where,keyword,line_number,libraries,keywords
yzou2/cbst,Yes,../repos/repos2/yzou2/cbst/issegm/solve_ST.py,,670,sklearn,.fit(
yzou2/cbst,Yes,../repos/repos2/yzou2/cbst/issegm/solve_ST.py,,894,mxnet,.update(
yzou2/cbst,Yes,../repos/repos2/yzou2/cbst/issegm/solve_ST.py,,895,mxnet,.update(
yzou2/cbst,Yes,../repos/repos2/yzou2/cbst/issegm/evaluate.py,,572,mxnet,.update(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/keras/Genesis_Chest_CT.py,,112,keras,.fit_generator
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/lung nodule segmentation.ipynb,,598,tensorflow,.fit(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/lung nodule segmentation.ipynb,,598,tensorflow,fit(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/lung nodule segmentation.ipynb,,1222,tensorflow,.fit(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/lung nodule segmentation.ipynb,,1222,tensorflow,fit(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/.ipynb_checkpoints/lung nodule segmentation-checkpoint.ipynb,,130,tensorflow,.fit(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/.ipynb_checkpoints/lung nodule segmentation-checkpoint.ipynb,,130,tensorflow,fit(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/competition/Genesis_nnUNet.py,,110,torch,.train(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/competition/Genesis_nnUNet.py,,125,torch,.backward(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/pytorch/unet3d.py,,13,torch,forward(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/pytorch/unet3d.py,,35,torch,forward(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/pytorch/unet3d.py,,58,torch,forward(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/pytorch/unet3d.py,,74,torch,forward(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/pytorch/unet3d.py,,90,torch,forward(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/pytorch/unet3d.py,,104,torch,forward(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/pytorch/unet3d.py,,124,torch,forward(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/pytorch/Genesis_Chest_CT.py,,90,torch,.train(
MrGiovanni/ModelsGenesis,Yes,../repos/repos2/MrGiovanni/ModelsGenesis/pytorch/Genesis_Chest_CT.py,,98,torch,.backward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/deep_sort/deep/train_multiGPU.py,,147,torch,train_one_epoch(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/deep_sort/deep/model.py,,30,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/deep_sort/deep/model.py,,84,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/deep_sort/deep/resnet.py,,19,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/deep_sort/deep/resnet.py,,56,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/deep_sort/deep/resnet.py,,125,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/deep_sort/deep/train.py,,119,torch,train_one_epoch(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/export.py,,420,torch,.train(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/export.py,,462,torch,.train(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/export.py,,530,torch,.train(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/utils/activations.py,,14,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/utils/activations.py,,20,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/utils/activations.py,,28,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/utils/activations.py,,35,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/utils/activations.py,,46,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/utils/activations.py,,57,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/utils/activations.py,,74,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/utils/activations.py,,95,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/utils/autobatch.py,,19,torch,.train(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/utils/loss.py,,25,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/utils/loss.py,,45,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/utils/loss.py,,75,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/utils/torch_utils.py,,140,torch,.backward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/experimental.py,,25,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/experimental.py,,38,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/experimental.py,,71,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/experimental.py,,80,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,48,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,72,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,89,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,106,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,123,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,140,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,177,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,193,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,209,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,222,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,238,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,248,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,262,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,276,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,400,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,409,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,465,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,510,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv5/models/common.py,,677,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/Mask_RCNN/network_files/roi_head.py,,458,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/Mask_RCNN/network_files/rpn_function.py,,172,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/Mask_RCNN/network_files/rpn_function.py,,235,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/Mask_RCNN/network_files/rpn_function.py,,574,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/Mask_RCNN/network_files/faster_rcnn_framework.py,,45,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/Mask_RCNN/network_files/faster_rcnn_framework.py,,132,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/Mask_RCNN/network_files/faster_rcnn_framework.py,,156,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/Mask_RCNN/network_files/transform.py,,428,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/Mask_RCNN/backbone/resnet50_fpn_model.py,,32,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/Mask_RCNN/backbone/resnet50_fpn_model.py,,100,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/Mask_RCNN/backbone/feature_pyramid_network.py,,52,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/Mask_RCNN/backbone/feature_pyramid_network.py,,110,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/Mask_RCNN/backbone/feature_pyramid_network.py,,188,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/Mask_RCNN/backbone/feature_pyramid_network.py,,232,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv3/yolo_layer.py,,107,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv3/region_layer.py,,112,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv3/darknet.py,,13,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv3/darknet.py,,23,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv3/darknet.py,,41,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv3/darknet.py,,63,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv3/darknet.py,,78,torch,forward(
ZQPei/deep_sort_pytorch,Yes,../repos/repos2/ZQPei/deep_sort_pytorch/detector/YOLOv3/darknet.py,,113,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/trainer.py,,161,torch,.train(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/trainer.py,,164,torch,.train(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/trainer.py,,183,torch,.backward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/line_vectorizer.py,,45,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/line_vectorizer.py,,271,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/multitask_learner.py,,28,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/multitask_learner.py,,40,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/hourglass_pose.py,,30,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/hourglass_pose.py,,77,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/hourglass_pose.py,,83,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/hourglass_pose.py,,91,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/hourglass_pose.py,,92,torch,forward(
zhou13/lcnn,Yes,../repos/repos2/zhou13/lcnn/lcnn/models/hourglass_pose.py,,162,torch,forward(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/example.py,,58,keras,.fit(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/example.py,,58,tensorflow,fit(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/analysis/embedding_vocab_checker.py,,30,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/analysis/data_vocab_checker.py,,22,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/davidson/classifier.py,,54,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/davidson/classifier.py,,56,sklearn,.fit(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/util.py,,185,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/util.py,,195,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/util.py,,303,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/util.py,,322,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/classifier_gridsearch.py,,178,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/classifier_gridsearch.py,,185,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/classifier_gridsearch.py,,196,sklearn,.fit(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/feature_extractor.py,,41,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/feature_extractor.py,,55,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/feature_extractor.py,,86,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/feature_extractor.py,,121,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/multiclassifier_dnn.py,,24,keras,.fit(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/classifier_dnn.py,,70,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/classifier_dnn.py,,300,keras,.fit(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/ml/classifier_dnn.py,,437,keras,.fit(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/exp/classifier_traintest_main.py,,90,sklearn,.fit_transform(
ziqizhang/chase,Yes,../repos/repos2/ziqizhang/chase/python/src/exp/classifier_traintest_main.py,,163,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/DecisionTreeClassifier_multi_stock.py,,40,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/demo-MLPClassifier.py,,7,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/SGDRegression_single_stock_today_for_tomorrow.py,,52,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/demo-hello-sklearn.py,,5,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/demo-DecisionTreeClassifier-lg.py,,110,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/demo-DecisionTreeClassifier-lg.py,,114,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/SGDRegression_single_stock.py,,46,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/demo-pandas.py,,114,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/SGDClassifier_single_stock.py,,41,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/SGDRegression_Prediction_For_Next_Week.py,,45,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/archive/demo-DecisionTreeClassifier-sm.py,,97,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/models/Classifier.py,,78,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/models/SGDRegression.py,,60,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/models/SGDClassifier.py,,44,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/models/LassoRegression.py,,66,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/models/SVMClassifier.py,,45,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/models/DecisionTreeClassifier.py,,45,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/testing/pandas-test.py,,114,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/testing/hello-sklearn.py,,5,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/testing/stock-predict.py,,83,sklearn,.fit(
cmpe295/python,Yes,../repos/repos2/cmpe295/python/for_fun/prediction1.py,,59,sklearn,.fit(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/SageMaker-BMSG-GAN.ipynb,,67,sagemaker,.fit(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/train.py,,248,torch,.train(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/GAN.py,,68,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/GAN.py,,183,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/GAN.py,,301,torch,.backward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/GAN.py,,324,torch,.backward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/GAN.py,,388,torch,.train(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/GAN.py,,389,torch,.train(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/CustomLayers.py,,42,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/CustomLayers.py,,93,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/CustomLayers.py,,139,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/CustomLayers.py,,159,torch,forward(
akanimax/BMSG-GAN,Yes,../repos/repos2/akanimax/BMSG-GAN/sourcecode/MSG_GAN/CustomLayers.py,,209,torch,forward(
